	AB1	AB1.1	AB1.2	AB1.3	AB1.4	AB1.5	AB2	AB2.1	AB2.2	AB2.3	AB2.4	AB2.5	AB3	AB3.1	AB3.2	AB3.3	AB3.4	Fe1	Fe1.1	Fe1.2	Fe1.3	Fe1.4	Fe1.5	Fe2	Fe2.1	Fe2.2	fe2	Fe2.3	Fe2.4	Fe3	Fe3.1	Fe3.2	Fe3.3	Fe3.4	Fe3.5	NL1	NL1.1	NL1.2	NL1.3	NL2	NL2.1	NL2.2	NL2.3	NL3	NL3.1	NL3.2	NL3.3	NL4	NL4.1	NL4.2	NL4.3	NL4.4	NL4.5	NL5	NL5.1	NL5.2	NL5.3	NL5.4	NL5.5	NL6	NL6.1	NL6.2	NL6.3	NL6.4	NL6.5	S1	S1.1	S1.2	S1.3	S1.4	S1.5	S2	S2.1	S2.2	S2.3	S2.4	S2.5	S3	S3.1	S3.2	S3.3	S3.4	S3.5
ASV_1234	0	3	8	0	5	3	0	18	7	5	1	5	0	1	3	3	1	0	0	1	1	1	3	0	5	2	2	1	1	7	2	0	0	1	3	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	6	0	1	2	5	3	0	2	0	0	0	5	2	2	1	1	0
ASV_1235	4	0	1	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	9	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18	2	1	0	1	0	10	0	0	2	0	0	4	0	0	0	0	1	64	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ASV_1236	0	11	1	0	18	1	0	0	1	0	0	1	0	0	0	0	0	0	0	9	3	2	1	0	4	0	2	1	1	0	3	0	0	4	2	0	1	1	3	1	1	28	11	0	0	0	0	0	1	1	6	3	2	0	0	0	0	0	0	2	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1237	0	1	1	0	2	1	0	2	5	2	1	0	0	0	0	0	2	0	0	3	5	5	10	0	14	17	6	1	0	0	3	1	0	0	4	0	0	0	4	0	0	0	0	0	0	3	8	0	1	0	1	1	0	0	0	0	0	1	9	4	1	2	0	0	0	0	1	1	0	0	1	0	1	0	3	0	1	0	2	0	0	0	0
ASV_1238	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	9	3	1	10	1	0	4	1	3	10	0	1	1	5	4	13	6	3	0	0	0	0	0	1	0	0	0	3	0	0	9	1	1	0	1	0	2	0	5	3	2	3	1	2	1	3	0	0	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_1239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	22	2	7	0	8	31	27	11	12
ASV_1240	1	1	1	0	1	1	2	1	1	2	0	0	6	2	0	1	3	5	6	5	7	1	2	1	2	1	8	0	0	1	3	4	2	2	2	0	1	0	0	1	1	0	0	0	3	1	0	4	0	3	0	1	1	2	0	5	2	0	2	1	1	2	2	0	2	4	2	0	3	1	1	1	2	1	0	1	1	1	1	0	1	0	0
ASV_1241	5	1	1	0	0	0	5	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	9	2	1	0	0	0	7	0	0	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	9	1	0	1	1	0	12	0	0	0	0	0	1	0	0	0	0	2	57	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1242	1	19	31	0	30	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	3	1	1	3	3	6	2	0	1	0
ASV_1243	1	0	1	0	0	1	0	0	2	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	3	0	0	7	10	0	1	0	1	0	1	0	0	0	0	1	0	0	2	11	0	0	21	1	7	0	0	0	1	0	13	5	9	1	5	1	1	10	0	1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
ASV_1244	2	4	0	0	0	1	4	5	0	0	1	2	4	0	0	0	0	1	4	2	1	0	0	2	0	1	0	0	0	9	0	0	0	0	0	0	1	0	0	7	0	1	0	4	1	0	0	5	0	0	1	0	0	16	0	0	0	0	3	14	0	0	2	0	13	3	0	0	0	1	0	10	4	0	0	0	0	1	0	0	0	0	0
ASV_1245	0	0	0	0	0	0	0	4	5	3	1	1	1	0	0	2	3	0	0	6	6	7	9	0	19	16	2	2	5	0	0	1	1	3	1	0	0	0	0	0	2	0	1	0	0	3	7	0	1	0	0	0	0	0	0	1	1	0	2	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0
ASV_1246	0	0	0	0	0	0	0	0	0	114	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0
ASV_1247	3	2	0	0	0	0	5	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	7	2	3	2	1	3	3	0	0	0	2	1	0	1	1	1	0	0	1	0	2	1	1	1	5	0	0	0	1	0	11	1	1	1	0	0	3	1	0	7	0	24	18	1	1	2	1	0	0	0	0	0	0	0	3	0	0	1	0	0
ASV_1248	7	1	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	2	16	1	1	0	3	0	6	0	0	0	0	0	0	0	0	0	0	1	61	0	1	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0
ASV_1249	0	37	33	0	8	14	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	19	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1250	0	0	0	0	1	1	0	2	3	4	1	1	0	0	1	2	1	0	0	10	4	4	7	0	14	12	2	1	3	0	1	2	2	5	2	0	0	0	1	0	1	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	3	4	5	8	1	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	1	0	0	0
ASV_1251	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	4	0	8	6	2	12	36	0	1	0	2	27	17	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ASV_1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	10	0	0	0	0	21	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0
ASV_1253	0	26	40	0	10	17	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	7	14	0	0	1	0	0	0	0	0	1	1	0	0
ASV_1254	0	1	0	0	2	5	0	0	2	0	2	5	0	1	0	0	12	0	0	0	0	0	0	0	14	1	1	10	5	1	0	1	0	3	2	0	3	1	0	0	0	0	0	0	3	4	0	0	0	0	1	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	5	4	6	8	2	0	2	0	1	0	0	0	7	5	1	0	0
ASV_1255	0	3	14	0	5	1	0	6	4	1	44	4	0	0	0	16	3	0	0	0	0	0	0	0	0	0	0	17	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1256	3	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	12	2	3	1	0	0	15	0	0	1	0	0	4	0	0	0	1	0	52	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ASV_1257	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	25	8	0	11	7	2	12	4	0	2	0	0	14	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	22	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1258	0	1	0	0	14	47	0	1	0	2	3	0	1	0	0	6	3	0	0	0	0	5	8	2	0	3	0	5	0	0	0	4	0	12	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
ASV_1259	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	24	0	58	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1260	4	0	0	0	0	0	59	27	11	9	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1261	0	0	0	0	0	0	0	0	1	3	3	13	0	5	1	0	2	0	0	0	0	2	4	0	2	0	1	0	10	0	3	1	0	2	21	0	1	0	0	0	6	0	2	0	0	2	0	0	3	0	1	3	1	0	0	0	2	5	6	0	0	0	0	0	0	0	0	3	3	5	6	0	0	0	0	0	0	0	0	1	2	0	0
ASV_1262	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	10	10	0	13	4	4	20	45	0	0	1	0	6	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1263	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	10	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	3	0	3	8	5	10	32	0	0	2	1	0	13	1	0	0	0	21	0	1
ASV_1264	0	4	13	0	4	0	0	1	3	6	0	3	0	0	2	1	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	5	0	0	0	2	0	0	4	1	0	0	0	1	1	3	0	0	0	6	7	3	0	0	1	0	0	0	0	0	1	0	1	1	0	0	2	14	0	15	1	0	1	0	0	8
ASV_1265	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1266	2	2	2	0	0	0	5	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	11	1	1	1	0	0	4	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	2	2	0	0	0	0	0	1	10	0	0	0	1	1	0	0	0	11	0	32	18	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	1
ASV_1267	0	0	1	0	3	3	1	10	7	5	0	0	4	1	1	0	0	0	0	0	0	9	0	0	4	2	0	0	0	1	20	8	1	9	1	0	0	2	2	0	0	0	0	1	4	1	0	0	0	1	0	0	0	1	4	0	2	0	0	0	0	0	0	0	0	0	2	5	1	1	0	0	0	5	0	0	0	1	0	0	0	0	0
ASV_1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	59	21	11	1	14	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1269	0	0	0	0	0	1	0	0	0	38	1	0	9	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	10	0	0	0	3	0	0	0	1	0	0	0	0	0	3	2	1	0	0	0	0	0	3	13	0	2	0	0	2	0	1	0	0	0	11	0	4	4	3	0	1	0	0
ASV_1270	0	0	0	0	0	0	2	0	0	0	0	1	31	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	15	0	26	0	5	1	0	0	3	0	6	1	4	0	4	2	0	1	0	0	0	0	0	0	4	0	0	2	6	2	0	0
ASV_1271	0	21	35	0	10	17	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	15	10	0	0	0	0	0	0	0	0	1	1	0	0
ASV_1272	0	4	6	0	7	4	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	4	2	0	3	4	3	0	1	0	3	1	0	0	1	1	1	0	2	0	0	0	1	0	0	1	0	0	0	9	7	19	2	0	1	0	1	0	0	0	1	7	1	0	4	0	14	0	1	0	0	0	0	0	1	0	0
ASV_1273	0	0	12	0	15	3	0	6	1	1	33	4	0	0	0	13	1	0	0	1	0	0	0	0	0	0	0	19	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1274	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1275	2	0	0	0	0	0	18	0	3	1	0	0	0	0	0	0	0	2	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	2	1	0	3	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	0	3	29	12	4	9	1	2
ASV_1276	0	7	5	0	19	2	0	0	0	0	0	0	0	0	0	0	0	1	1	9	3	2	0	0	3	1	0	0	2	0	3	0	0	3	1	0	1	6	4	0	2	28	5	0	0	0	0	0	0	1	4	0	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_1277	0	1	1	0	4	2	0	13	9	2	1	3	0	1	4	0	1	2	0	0	1	1	3	0	2	3	0	0	1	8	0	0	0	3	1	0	1	0	0	5	3	2	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	3	2	2	6	0	1	0	0	0	0	4	3	4	5	1	1
ASV_1278	0	1	3	0	0	15	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	8	4	1	9	12	0	1	0	0	0	0	0	3	0	5	0	0	1	0	0	2	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	7	10	1	0	1	0	1	0	0	2	6	3	4	0	0
ASV_1279	0	0	1	0	0	1	0	2	4	4	0	1	0	0	0	0	0	0	0	7	3	9	4	0	17	5	3	2	3	0	0	3	0	2	3	0	0	1	2	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	2	2	10	7	1	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	1	0	0	0	0
ASV_1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16	4	5	1	5	31	32	3	13
ASV_1281	1	1	3	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	9	0	0	0	56	3	1	0	0	8	9	0	4	0	0	0	0	1	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0
ASV_1282	49	7	3	0	6	4	26	3	0	0	0	0	6	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	2	0	0	1	0	0
ASV_1283	0	3	2	0	0	1	0	1	4	1	0	0	0	1	0	1	2	0	1	3	6	15	11	0	11	2	2	2	6	0	1	1	0	1	3	0	0	0	1	0	0	1	0	0	0	5	4	0	0	0	0	0	0	0	0	0	3	0	7	3	5	2	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	1	2	0	0	0
ASV_1284	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1285	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	5	6	1	9	43	0	0	1	2	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_1286	0	0	0	0	0	0	0	0	0	0	0	1	11	19	8	5	1	0	0	1	1	0	0	0	1	6	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	12	11	4	4	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	7	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV_1288	5	0	3	0	0	1	5	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	8	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	9	0	1	0	0	0	11	0	0	0	0	0	5	0	0	0	0	0	42	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1
ASV_1289	2	0	1	0	3	1	2	1	3	2	1	1	3	0	0	1	2	2	2	4	1	1	0	1	0	1	1	1	1	3	0	3	0	3	1	1	0	1	0	1	3	0	1	4	3	3	1	6	0	1	0	1	0	3	2	2	2	0	1	1	0	3	1	5	1	2	1	0	1	1	4	3	0	0	2	1	0	0	2	0	4	2	0
ASV_1290	0	11	4	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	4	0	0	1	1	1	2	0	0	2	0	0	7	2	0	2	9	1	0	0	19	3	0	0	0	0	0	1	1	7	4	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0
ASV_1291	0	1	2	0	0	3	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	1	10	4	9	7	7	0	0	0	0	1	2	1	1	1	0	0	1	0	0	1	6	0	1	0	3	3	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	4	7	2	0	1	2	1	0	1	0	6	2	3	1	0
ASV_1292	0	2	1	0	0	2	0	0	0	0	0	3	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	85	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	1	0	0	2
ASV_1293	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	2	0	1	1	4	0	1	2	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	7	1	11	7	2	14	3	3	1	0	1	1	4	13	5	2	6	9	0	0
ASV_1294	0	0	1	0	0	0	0	3	5	1	4	1	0	0	1	1	1	0	0	3	5	4	13	0	14	11	8	1	3	0	2	5	0	2	1	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	6	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0
ASV_1295	0	0	3	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	66	4	0	1	0	9	3	0	2	0	1	1	1	0	0	0	8	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_1296	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	2	0	0	0	0	0	0	0	2	3	0	4	0	0	0	0	10	0	26	0	0	0	0	0	10	0	0	0	5	0	2	4	0	19	0	0	1	0	2	0	2	0	0	0	0	5	0	0
ASV_1297	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	8	0	0	1	1	1	16	0	0	0	0	5	9	0	0	0	3	1	0	1	3	0	0	0	1	0	0	0	2	0	2	0	0	1	0	0	2	0	0	0	0	1	0	0	0	2	8	9	14	0	0	0	0	0	1	0	0	0	1	4	7
ASV_1298	0	0	12	0	0	5	0	2	2	0	0	2	0	6	0	0	1	0	0	0	4	0	5	0	1	1	2	2	3	0	0	1	0	2	4	0	0	0	1	0	0	0	1	0	0	1	5	0	0	1	2	2	0	0	0	0	9	1	0	1	0	1	0	0	0	0	0	0	1	3	1	0	0	1	0	0	2	0	12	5	6	1	5
ASV_1299	0	0	4	0	2	3	0	0	3	1	1	8	0	0	1	4	5	0	0	0	4	2	7	0	0	3	1	2	1	1	0	0	0	3	4	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	7	3	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	3	5	7	0	2	4	4	0	2	0	1	3	2	2	4
ASV_1300	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	4	1	0	3	5	2	3	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	3	0	4	8	3	16	2	0	1	0	6	0	8	13	0	2	2	11	3	1
ASV_1301	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	3	8	0	6	12	1	20	48	0	0	0	0	5	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1302	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	9	0	7	4	3	52	1	0	0	1	2	0	9	2	4	1	4	1	0	0
ASV_1303	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	4	0	13	0	0	0	0	3	0	0	0	1	2	18	10	0	0	41	0	0	0	0	0	0	0	1	0	1	0	1	0	4
ASV_1304	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	18	2	4	0	6	24	38	6	6
ASV_1305	0	0	0	0	0	0	0	0	0	68	0	0	4	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	19	0	1	0	0	0	0
ASV_1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	2	57	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_1307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	11	4	9	0	3	32	30	5	9
ASV_1308	7	0	1	0	0	0	63	24	8	3	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1309	1	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	2	10	2	5	1	1	0	1	0	6	5	0	2	8	0	0	1	0	0	1	4	0	0	1	2	0	1	3	0	2	17	0	3	0	0	0	0	1	0	2	0	1	3	0	0	2	1	0	0	0	0	0	0	5	0	0	1	0	0	0	1	0	0	13	0	0
ASV_1310	0	7	3	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	2	4	1	1	4	0	5	2	0	0	0	0	0	2	3	0	1	12	3	0	0	23	8	0	0	0	0	0	0	0	4	2	1	0	0	0	0	1	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1311	0	0	1	0	0	0	0	1	0	0	0	1	0	4	12	14	19	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	5	10	30	5	0	0	0	0	0	1	0	0	0	0	1	0
