	AB1	AB1.1	AB1.2	AB1.3	AB1.4	AB1.5	AB2	AB2.1	AB2.2	AB2.3	AB2.4	AB2.5	AB3	AB3.1	AB3.2	AB3.3	AB3.4	Fe1	Fe1.1	Fe1.2	Fe1.3	Fe1.4	Fe1.5	Fe2	Fe2.1	Fe2.2	fe2	Fe2.3	Fe2.4	Fe3	Fe3.1	Fe3.2	Fe3.3	Fe3.4	Fe3.5	NL1	NL1.1	NL1.2	NL1.3	NL2	NL2.1	NL2.2	NL2.3	NL3	NL3.1	NL3.2	NL3.3	NL4	NL4.1	NL4.2	NL4.3	NL4.4	NL4.5	NL5	NL5.1	NL5.2	NL5.3	NL5.4	NL5.5	NL6	NL6.1	NL6.2	NL6.3	NL6.4	NL6.5	S1	S1.1	S1.2	S1.3	S1.4	S1.5	S2	S2.1	S2.2	S2.3	S2.4	S2.5	S3	S3.1	S3.2	S3.3	S3.4	S3.5
ASV_898	1	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	26	8	1	24	20	8	19	8	0	1	0	0	20	1	0	1	3	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	1	44	10	0	1	1	0	0	0	0	0	0	0	0	0
ASV_899	0	0	0	0	1	6	0	0	1	2	0	5	0	0	0	1	1	0	0	0	1	5	24	0	0	4	1	12	45	0	0	0	0	7	67	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	3	7	0	0	0	2	1	1	0	0	2	0	0	0	0	0	1	1	2	7	0	0	0	1	0	0	0	0	0	0	0	1
ASV_900	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	24	8	0	40	14	5	35	6	1	2	0	0	8	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	49	11	0	0	0	0	0	0	0	0	0	0	0	0
ASV_901	0	0	0	0	0	0	0	0	3	85	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	0	0	17	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	4	1	12	0	46	0	0	1	2	2	3	12	1	0	1	5	0
ASV_902	0	2	6	0	4	3	0	2	1	2	2	2	0	1	0	2	4	0	1	3	0	1	2	0	3	1	1	1	2	0	0	1	0	2	0	2	3	1	3	0	1	0	4	0	3	0	4	0	3	1	3	5	1	0	0	4	2	2	1	0	0	0	53	0	0	0	2	6	15	11	3	0	3	2	5	0	2	3	6	4	4	1	2
ASV_903	10	1	2	0	0	0	5	1	0	0	0	0	7	0	0	0	1	1	0	1	0	0	0	15	2	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	21	2	0	0	1	0	29	0	0	0	0	0	3	0	0	0	0	0	97	1	0	0	1	0	1	1	0	0	0	0	2	0	0	0	2	0
ASV_904	1	16	42	0	0	4	0	0	0	1	0	4	0	3	1	1	0	0	1	6	2	1	0	0	0	2	2	0	1	0	0	1	0	2	2	0	0	0	7	0	4	1	1	0	0	0	0	0	0	0	0	21	0	0	1	4	8	3	3	0	0	0	14	0	0	1	0	1	3	2	1	0	0	1	19	1	6	1	5	7	1	2	2
ASV_905	2	0	1	0	4	0	1	1	1	3	0	1	5	1	0	1	1	12	8	7	13	6	3	0	1	5	8	1	0	0	11	5	14	2	7	0	0	2	1	1	0	0	1	0	4	5	1	1	2	4	1	1	0	5	0	2	6	1	5	0	1	4	3	3	2	11	2	1	5	1	1	0	0	1	2	0	0	0	1	0	5	0	2
ASV_906	0	1	1	0	1	7	0	0	17	7	3	45	0	2	0	2	8	0	0	0	1	1	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	2	0	0	1	0	0	1	5	2	11	35	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	1	13	14	0	1	1	2	1	8	0	0	0	1	1	0
ASV_907	0	1	1	0	0	0	1	0	0	1	2	0	0	11	15	12	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	2	1	0	0	0	0	2	0	1	1	0	0	0	1	0	2	2	0	0	0	0	0	2	1	4	11	71	16	1	0	0	1	0	0	0	0	1	0	0	0
ASV_908	0	0	8	0	3	0	0	1	0	3	0	2	57	2	0	0	0	0	0	7	0	0	1	0	0	5	1	0	2	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	3	0	2	0	0	3	1	1	7	1	7	2	0	4	2	5	0	0	48	2	0	0	0	3	5	9	0	0	0	0	2	8	0	0	0	0	0	0
ASV_909	0	0	0	0	1	15	0	0	1	3	1	7	0	1	0	2	2	0	0	0	1	0	28	0	2	2	3	10	32	0	0	0	0	13	49	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	6	6	0	0	0	1	3	3	0	0	1	0	0	0	0	0	1	0	4	5	0	0	0	1	0	3	0	0	0	0	0	1
ASV_910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	1	106	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_911	2	2	0	0	0	0	5	0	0	1	1	0	2	0	1	0	0	0	0	2	0	0	0	17	0	3	1	0	4	7	0	1	0	1	1	2	3	2	1	0	2	0	0	1	1	2	1	2	0	0	0	0	0	22	1	0	0	1	0	4	0	0	11	0	53	46	0	0	0	0	0	0	2	1	0	0	1	1	0	1	0	0	0
ASV_912	2	2	6	0	3	0	7	1	0	1	1	1	7	0	1	9	2	0	1	0	0	0	1	0	0	0	1	0	3	3	1	1	0	0	0	3	1	1	0	1	3	1	1	2	7	4	0	14	2	20	1	1	0	2	2	14	17	2	4	2	6	2	3	4	3	0	0	0	6	5	5	2	2	0	0	1	3	0	6	0	4	0	1
ASV_913	1	2	1	0	1	0	6	2	2	1	1	1	11	1	3	3	2	3	2	6	1	4	1	1	0	4	4	0	0	1	4	6	6	4	2	0	2	1	1	0	0	2	0	1	5	6	0	12	0	6	2	2	0	5	4	5	2	0	4	1	0	8	1	4	6	2	2	0	1	1	4	3	1	3	1	3	2	3	5	2	12	0	0
ASV_914	3	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	61	10	10	5	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	4	6	1	0	1	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	1	0
ASV_915	0	0	0	0	2	1	4	0	2	2	2	1	2	0	0	2	0	11	8	7	13	7	3	2	2	7	17	1	0	0	14	10	16	7	5	0	1	0	0	1	0	1	1	0	5	1	1	3	0	0	1	0	0	1	2	0	4	0	0	0	1	3	0	3	0	14	4	1	2	1	2	2	0	1	0	0	1	0	0	2	3	1	1
ASV_916	3	3	1	0	0	0	105	45	21	15	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_917	0	6	9	0	14	3	0	0	8	16	5	6	0	0	0	1	3	0	12	21	8	10	5	0	5	6	8	2	0	0	3	12	3	5	2	0	2	5	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	6	3	4	0	0	3	2	0	2	0	2	0	0	0	0
ASV_918	14	2	0	0	0	0	3	1	0	0	0	0	1	0	0	2	1	1	0	1	0	0	0	1	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	113	0	6	1	2	0	16	0	0	0	0	1	0	0	0	0	0	2	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_919	0	6	16	0	0	5	0	3	2	0	0	5	0	4	2	0	1	0	0	3	0	0	4	0	2	2	4	0	4	0	0	1	0	2	7	0	0	1	2	0	3	4	2	0	1	1	1	0	1	1	1	8	5	1	4	2	6	5	4	2	5	0	0	0	0	0	5	4	4	6	2	0	0	5	4	0	4	0	8	10	10	5	10
